Categoria,Subcategoria,Modelo,Descripcion,Dimensiones_W,Dimensiones_D,Dimensiones_H,Material_Top,Material_Base,Acabado,Color_Opciones,Caracteristicas,Componentes,Opciones,Capacidad_Peso,Peso,Notas,Pagina
Tables,Science,Forward Vision Tables,"AVT9LETMT36C",84,44,36,"ChemGuard 1-1/4","Light Hardwood","UV Finish","Black","84""x44"" overall, Axis top option","2-1/4"" square solid oak legs, 4-1/2"" apron","Fixed steel legs with glides/casters",500,,,"ADA compliant options available",6
Tables,Science,Trapezoid Tables,"TZ714LNRM36C",60,30,36,"Laminate 1-1/4","Oak Hardwood","UV Finish","Almond","60""x30"" trapezoid shape","2-1/4"" square solid oak legs, 4-1/2"" apron","Glides/Casters available",500,,,"Wood option: Oak (K) or Light Hardwood (M)",7
Tables,Science,Accu Table,"DM-LT4830-G40W",48,30,"29-36","Epoxy 1","Steel","Off-White Powder Coat","Black","48""Wx30""D, pin-height adjustable","14-gauge steel tube construction","Hanging base cabinets/Modesty panels/Lower shelf",,,,"Hanging base cabinets optional",8
Tables,Science,Accu Table,"DM-LT6030-G40W",60,30,"29-36","Phenolic 3/4","Steel","Off-White Powder Coat","Black","60""Wx30""D, pin-height adjustable","14-gauge steel tube construction","Hanging base cabinets/Modesty panels/Lower shelf",,,,"Hanging base cabinets optional",8
Tables,Science,Integra Bench,"DM-FB4830-G40W",48,30,"29-36","Epoxy 1","Steel","Off-White Powder Coat","Black","48""Wx30""D, 2 upper shelves","14-gauge steel tube construction","4 duplex receptacles, Electrical available",,,,"Hanging base cabinets optional",8
Tables,CTE,Welding Fixture Table,"DMW4830",48,30,36,"Steel 3/8","Steel","Anti-spatter","Gray","48""x30""x36"", laser-etched grid","A572-50 American-processed steel, full surface 2"" grid","Tubular cross-bracing, 2-1/2"" square steel storage","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery",10
Tables,CTE,Welding Fixture Table,"DMW6036",60,36,36,"Steel 3/8","Steel","Anti-spatter","Gray","60""x36""x36""",,"Laser-etched 30/45/90 degree guides","Tubular cross-bracing, 12x12 welded support grid","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery"
Tables,CTE,Welding Fixture Table,"DMW7236",72,36,36,"Steel 3/8","Steel","Anti-spatter","Gray","72""x36""x36""",,"Laser-etched 2"" grid lines","Tubular cross-bracing, optional drawers","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery",10
Tables,CTE,Welding Fixture Table,"DMW4848",48,48,36,"Steel 3/8","Steel","Anti-spatter","Gray","48""x48""x36""",,"Full surface grid","4 swivel/locking casters, 2 fixed","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery",10
Tables,CTE,Welding Fixture Table,"DMW9648",96,48,36,"Steel 3/8","Steel","Anti-spatter","Gray","96""x48""x36""",,"Heavy-duty fabrication table","6-legged design, 4 swiveling locking casters","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery",10
Tables,CTE,Welding Fixture Table,"DMW12048",120,48,36,"Steel 3/8","Steel","Anti-spatter","Gray","120""x48""x36""",,"Large-scale welding table","Edge-to-edge flatness with 1/64"" variance","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery",10
Tables,CTE,Welding Fixture Table,"DMW6060",60,60,36,"Steel 3/8","Steel","Anti-spatter","Gray","60""x60""x36""",,"Extra wide welding surface","Cross-bracing design, lower shelf option","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery",10
Tables,CTE,Welding Fixture Table,"DMW12060",120,60,36,"Steel 3/8","Steel","Anti-spatter","Gray","120""x60""x36""",,"Maximum size welding table","Industrial casters included","Shelf/Handle/Casters/Drawers",1000,,"Forklift required for delivery",10
Tables,CTE,Fabrication Prep Table,"DMW6030S-PREP",60,30,36,"Carbon Steel","Steel","Black Powder Coat","Gray","60""x30""x36""",,"Carbon steel top","Leveling feet or locking casters","Optional 1-3 drawers",800,,"NOT for welding",11
Tables,CTE,Welding Fixture Tool Kit,"DMWKIT-BEGIN","N/A","N/A","N/A","Steel","Steel","Clear Coat","Steel","103pc Student Fixture Tool Kit","Includes clamps, stops, blocks, squares","Plier clamps, T-handle clamps, mag blocks",,"Complete kit only",11
Tables,CTE,Welding Fixture Tool Kit,"DMWKIT-INSTR","N/A","N/A","N/A","Steel","Steel","Clear Coat","Steel","147pc Advanced Fixture Tool Kit","Student kit plus risers, extensions, V-blocks","Lifting hooks, table extensions, ball lock pins",,"Complete kit only",11
Tables,CTE,Apprentice Industrial Workbench,"MLB60245L",60,24,"30-39","Maple BB 1-3/4","Steel","Black Powder Coat","Natural","60""x24"" adjustable height","12-gauge adjustable steel legs, 14-gauge stretchers","Built-in electrical cavities, 3/4"" lower shelf","Maple BB or ShopTop",500,,"Height: 30-3/4"" to 39-3/4""",12
Tables,CTE,Apprentice Industrial Workbench,"MLB96307D",96,30,"30-39","Maple BB 1-3/4","Steel","Black Powder Coat","Natural","96""x30"" adjustable height","12-gauge adjustable steel legs, 14-gauge stretchers","Built-in electrical cavities, 3/4"" lower shelf","Maple BB or ShopTop",500,,"Height: 30-3/4"" to 39-3/4""",12
Tables,CTE,Apprentice Sheet Metal Bench,"SMB-540",60,40,"31-1/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","60""x40"" sheet metal workbench","Solid light hardwood legs, 4-1/2"" apron","2-1/4"" maple top protected with plywood","0-2 stake plates optional",800,,"Stake plates optional",14
Tables,CTE,Apprentice Sheet Metal Bench,"SMB-840",96,40,"31-1/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","96""x40"" sheet metal workbench","Solid light hardwood legs, 4-1/2"" apron","2-1/4"" maple top protected with plywood","0-2 stake plates optional",800,,"Stake plates optional",14
Tables,CTE,Apprentice Angle Iron Bench,"A32-6W",72,24,"31-1/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","72""x24"" angle iron bench","Solid light hardwood legs, 4-1/2"" apron","2-1/4"" maple top with 4"" rear curb","0,1,2 vises optional",800,,"Vises optional",14
Tables,CTE,Apprentice Angle Iron Bench,"A37-8W",96,24,"37-1/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","96""x24"" angle iron bench","Solid light hardwood legs, 4-1/2"" apron","2-1/4"" maple top with 4"" rear curb","0,1,2 vises optional",800,,"Vises optional",14
Tables,CTE,Apprentice Side Clamp Station,"GCT-7236",73.5,36,"30-1/2","Steel","Steel","Gray Powder Coat","Gray","73.5""Wx36""Dx30.5""H","17 sets of 3/4"" grooves for bar clamps","Solid light hardwood framing, steel rail","Drip pan optional",500,,"Bar clamps not included",15
Tables,CTE,Apprentice Glue & Stain Station,"GSB-6024",60,24,35,"Galvanized Steel","Hardwood","UV Finish","Gray","60""x24"" glue station","4-1/2"" apron, UV finish","1-1/4"" plywood top capped with galvanized steel","3"" casters optional",300,,"Bar clamps not included",15
Tables,CTE,Apprentice Miter Box Bench,"MBB-7224",72,24,"33-1/2","ShopTop 1-1/2","Hardwood","UV Finish","Natural","72""x24"" miter box station","Holds up to 26""W miter saw","Two 24""W x 24""D work surfaces","Miter saw not included",500,,"Miter saw not included",16
Tables,CTE,Forum Industrial Wood Workbench,"W-4824L",48,24,"30-3/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","48""x24"" workbench","Solid light hardwood legs, apron, veneer","Face-glued hardwood strips, clear coat","0-4 vises optional",800,,"Vises optional",16
Tables,CTE,Forum Industrial Wood Workbench,"W-6024L",60,24,"30-3/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","60""x24"" workbench","Solid light hardwood legs, apron, veneer","Face-glued hardwood strips, clear coat","0-4 vises optional",800,,"Vises optional",16
Tables,CTE,Forum Industrial Wood Workbench,"W-7224L",72,24,"30-3/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","72""x24"" workbench","Solid light hardwood legs, apron, veneer","Face-glued hardwood strips, clear coat","0-4 vises optional",800,,"Vises optional",16
Tables,CTE,Forum Fixed Two-Station Bench,"WW231-0V",64,28,"33-1/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","64""x28"" two-station bench","Double door cabinet, locking drawers","2-1/4"" maple butcher block","0-2 vises optional",800,,"Vises optional",48
Tables,CTE,Forum Fixed Four-Station Bench,"WW31-0V",64,54,"31-1/4","Maple BB 2-1/4","Hardwood","UV Finish","Natural","64""x54"" four-station bench","4-door configuration, adjustable shelf","2-1/4"" maple butcher block","0-4 vises optional",1000,,"Vises optional",48
Tables,CTE,Forum Four-Station Steel Bench,"WB2BL-0V",64,54,"31-1/4","Maple BB 2-1/4","Steel","Grey/Black Powder Coat","Natural","64""x54"" steel workbench","Heavy gauge steel, welded/riveted","2-1/4"" maple butcher block","0-4 vises optional",1000,,"Vises optional",49
Tables,Culinary,Menu Culinary Table,"DW-VTTOB-6024",60,24,"34-3/4","Stainless Steel 18g","Steel","Galvanized","Brushed","60""x24"" stainless table","T-420 18-gauge stainless top","Reinforced with 5"" C-channels","Casters/drawers/risers available",500,,"NSF-approved",17
Tables,Culinary,Menu Culinary Table,"DW-VTTOB-6030",60,30,"34-3/4","Stainless Steel 18g","Steel","Galvanized","Brushed","60""x30"" stainless table","Flat top with open base","Adjustable feet","Lower shelf/risers/casters",500,,"NSF-approved",17
Tables,Drafting,Draftsman Drawing Table,"DT-9A30",36,24,"29-3/4","Laminate 3/4","Hardwood","UV Finish","Almond","36""x24"" drawing table","0-30 degree adjustable top","Soft-close no-pinch safety","Pencil ledge attached",300,,"1-piece top",18
Tables,Drafting,Draftsman Drawing Table System,"DT-30A",42,30,"39-3/4","Laminate 3/4","Hardwood","UV Finish","Almond","42""x30"" drawing system","0-30 degree adjustable top","6 board storage spaces","CPU holder option",300,,"Deluxe model available",19
Tables,Drafting,Draftsman Drawing Table,"DT-4SA",36,24,30,"Laminate 3/4","Hardwood","UV Finish","Almond","36""x24"" drawing table","Adjustable 0-30 degrees","One adjustable + one fixed top","Six locking drawers",300,,"Single station",20
Tables,Drafting,Draftsman Two-Station Table,"CDTC-73",84,30,"39-3/4","Laminate 3/4","Hardwood","UV Finish","Almond","84""x30"" two-station","Two adjustable 24""x24"" tops","Fixed 24""x30"" reference area","Two CPU holders/monitor arms",600,,"Two-station deluxe",20
Tables,Drafting,Draftsman Instructor Table,"IDT-102",60,37.5,36,"Laminate 3/4","Hardwood","UV Finish","Almond","60""x37.5"" instructor desk","0-30 degree adjustable top","Two locking dovetail drawers","Left/right drawer config",400,,"Instructor model",21
Tables,Drafting,Portable Drawing Board,"PDT-2420",24,20,"N/A","Laminate 3/4","Hardwood","UV Finish","Almond","24""x20"" portable board","Adjusts 30/45/60 degrees","Folds flat for storage","Rubber feet",50,,"Lightweight portable",22
Tables,Drafting,Uplift Drawing Table,"ALTD1-6030",60,30,"26-41-1/4","Laminate 3/4","Steel","Silver Powder Coat","Almond","60""x30"" uplift table","2-piece adjustable top","2-3/4"" height increments","Pencil ledge included",300,,"Height adjustable",22
Tables,Drafting,Uplift Glass Table,"SSDT-30",40,30,"31-40","Glass","Metal","Black Powder Coat","Tinted","40""x30"" glass top","Tilts 70-30 degrees","Dry-erase marker board","150lb max pressure",400,,"Standing height option",22
Tables,Drafting,Draftsman Fixed Table,"PT-72P",72,30,30,"Laminate 1-1/4","Hardwood","UV Finish","Almond","72""x30"" fixed table","Dovetail locking drawers","Almond laminate top","Adjustable glides/rubber boots",400,,"Single station",23
Tables,Drafting,Four-Station Drafting Table,"DT-90PL",84,48,30,"Laminate 3/4","Hardwood","UV Finish","Almond","84""x48"" four-station","Four 26""x24"" adjustable tops","Locking storage under each area","3mm edge band",800,,"Four-station",23
Tables,Art,STEM Imprint Table,"P7209M30N",54,24,"30-1/4","Dry-Erase 1-1/4","Hardwood","UV Finish","White","54""x24"" STEM table","Compass & ruler imprint","1-1/4"" dry-erase laminate","Adjustable glides/rubber boots",400,,"Math/science graphics",24
Tables,Art,Perspective Worktop Classic,"WX4-M26",48,48,26,"Maple BB 1-3/4","Hardwood","UV Finish","Natural","48""x48"" classic table","24-1/4"" leg height","1-3/4"" maple butcher block","Adjustable glides",600,,"Collaborative table",24
Tables,Art,Clay Wedging Table,"WT7142M30N",60,30,"30-1/4","Laminate 1-1/4","Hardwood","UV Finish","Almond","60""x30"" clay table","Removable washable canvas","Clay cutter wire mounted","Adjustable glides",400,,"For art studios",24
Tables,Art,Perspective Table,"PT-60M26",60,42,"26-3/4","Maple BB 1-3/4","Hardwood","UV Finish","Natural","60""x42"" art table","Tapered pedestal legs","Book compartment or tote tray","Premier top attachment",500,,"No racking/rocking",25
Tables,Art,Work Table,"CT-200P36",36,30,"30-1/4","Laminate 1-1/4","Hardwood","UV Finish","Almond","36""x30"" work table","1 grommet hole","Almond laminate top","Adjustable glides",300,,"General purpose",25
Tables,Multipurpose,Uplift Table,"ALT-6030BL",60,30,"27-3/4-41-3/4","Laminate 1-1/4","Steel","Black Powder Coat","Black","60""x30"" uplift table","Black or gray glace laminate","Non-skid leveling glides","Casters add 2-5/16""",400,,"Height adjustable",26
Tables,Multipurpose,Uplift Table w/ Wood Apron,"P830LNNM",48,24,"26-41","ChemGuard 1-1/4","Wood/Steel","UV Finish/Black","Black","48""x24"" adjustable table","4-1/2"" wood apron, steel legs","Black phenolic/ChemGuard/laminate","Casters optional",400,,"Height adjustable",26
Tables,Multipurpose,A-Frame Table,"AFT603050360",60,30,"36-1/4","Laminate 1-1/4","Steel","Multiple Powder Coat","Almond","60""x30"" A-frame table","2-1/2"" square steel legs","L-channel support welded","Glides/Industrial/Designer casters",600,,"Backpack hook available",27
Tables,Multipurpose,Hand-Crank Table,"HLB60245",60,24,"28-67-1/2","Maple BB 1-3/4","Steel","Black Powder Coat","Natural","60""x24"" hand-crank table","26-3/4"" to 44-1/2"" height","Hand crank handle retractable","Battery pack optional",600,,"Electric also available",28
Tables,Multipurpose,Electric Height Table,"HLBE603017",60,30,"27-76-3/4","Epoxy 1","Steel","Black Powder Coat","Black","60""x30"" electric table","26-3/4"" to 46-1/2"" height","Digital readout, 2 presets","Bluetooth TiMotion App",600,,"Anti-collision device",28
Seating,Chairs,Acumen Vinyl Chair,"SE-T_D","N/A","N/A","18-23","Vinyl","Steel","Black Powder Coat","Black","Desk height 18""-23""","Contoured waterfall seat 19""Wx18""D","Adjustable cushioned backrest","Bio-safety Level 2",250,,"5 colors available",51
Seating,Chairs,Acumen Vinyl Chair,"SE-T_M","N/A","N/A","21-28","Vinyl","Steel","Black Powder Coat","Black","Medium height 21""-28""","Footrest included","Lumbar support","Adjustable height",250,,"5 colors available",51
Seating,Chairs,Acumen Vinyl Chair,"SE-T_T","N/A","N/A","25-34.5","Vinyl","Steel","Black Powder Coat","Black","Tall height 25""-34.5""","Footrest included","Pneumatic base","Non-marring glides/casters",250,,"5 colors available",51
Seating,Chairs,Acumen Poly Chair,"SE-NPC_D","N/A","N/A","17.75-22.5","Polyurethane","Steel","Black Powder Coat","Black","Desk height 17.75""-22.5""","Diamond back/textured","Chemical/puncture resistant","Classic Dot back option",250,,"Fully washable",51
Seating,Chairs,Sconnie 4-Leg Chair,"CHR18-4","N/A","N/A",18,"Polypropylene","Steel","Black Powder Coat","Black","4-legged stackable 18""H","16-gauge 1"" round tube legs","Nylon glides","Felt/steel glide options",12,,,"Fully assembled",52
Seating,Chairs,Sconnie Cantilever Chair,"CHR18-C","N/A","N/A",18,"Polypropylene","Steel","Black Powder Coat","Black","Cantilever stackable 18""H","Plastic feet, nylon glides","14 lbs weight","Felt/steel glide options",14,,,"Fully assembled",52
Seating,Stools,Acumen Poly Stool,"SE-PS2D","N/A","N/A","15.75-21","Polyurethane","Steel","Black Powder Coat","Black","Desk height 15.75""-21""","12.5"" diameter seat","Chemical/soil resistant","Pneumatic lift",250,,,53
Seating,Stools,Tractor Stool,"SE-TR_D","N/A","N/A","16.5-21.5","Polyurethane","Steel","Black Powder Coat","Black","Desk height 16.5""-21.5""","Tractor seat 17""Wx14""D","Chemical/puncture resistant","3 colors available",250,,,53
Seating,Stools,Chroma Stool,"STL7186-AH5_","N/A","N/A",18,"MDF","Steel","Textured Black","Various","18"" fixed height","14"" diameter seat","High-pressure laminate top","Lotz Armor Edge",200,,"Non-marring glides",54
Seating,Stools,Apprentice Stool,"S-18B","N/A","N/A",18,"Metal","Steel","Gray Powder Coat","Black","18"" fixed height","14"" diameter metal seat","Recessed Masonite panel","Optional backrest",150,,"Fully welded frame",54
Seating,Stools,Perspective Stool,"STL9186-AH5","N/A","N/A",18,"Hardwood","Steel","Textured Black","Natural","18"" fixed height","14"" diameter hardwood seat","Face-glued hardwood strips","Integrated footrest",250,,"Non-marring glides",55
Storage,Casework,Signature Countertop,"207529F",38,24,1,"Epoxy","N/A","N/A","Black","1"" epoxy resin","Lab-grade worksurface","Custom sizes available",,,"Chemical/heat resistant",60
Storage,Casework,Signature Base Cabinet,"121-3622M",36,22,35,"Oak Veneer","Oak Hardwood","UV Finish","Natural","36""W x 22""D x 35""H","Drawer base cabinet","Locking dovetail drawers","Join multiple units",,,"Design services recommended",60
Storage,Science,Microscope Cabinet,"4701K",48,24,40.75,"Oak Veneer","Oak Hardwood","UV Finish","Natural","48""x24"" mobile cabinet","Holds 24 standard microscopes","6.75""W x 10""D x 15.5""H slots","4"" locking casters",,,"Microscopes not included",61
Storage,Science,Balance Cabinet,"5201K",48,24,40,"Oak Veneer","Oak Hardwood","UV Finish","Natural","48""x24"" mobile cabinet","Four adjustable shelves","1-1/4"" HPL top","4"" locking casters",500,,,61
Storage,Science,Tall Microscope Cabinet,"372-4816K",48,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","48""x22""x84"" tall cabinet","Holds 25-30 microscopes","Framed tempered glass doors","Three-point locking handle",,,"Wall mounting required",62
Storage,Science,Skeleton Cabinet,"377-2422K",24,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","24""x22""x84"" skeleton storage","Roll-in or hanging model","Frame tempered glass doors","Three-point locking handle",,,"Skeleton not included",62
Storage,Science,First Aid Cabinet,"FAC-3613M",36,13,30,"Oak Veneer","Oak Hardwood","UV Finish","Natural","36""x13""x30"" first aid","Sliding locking upper doors","Fire extinguisher/blanket/kit","Two 1-gallon jugs",,,"Wall mounting required",63
Storage,Science,Safety Shower Station,"6900",36,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","36""x22""x84"" safety station","Emergency shower + eyewash","Stainless steel bowl","High-impact ABS shower head",265,,,63
Storage,Science,Corrosives Cabinet,"3420-3622M",36,22,35,"Oak Veneer","Oak Hardwood","UV Finish","Natural","36""x22""x35"" corrosives","1/4"" polypropylene interior","2"" plastic containment drip pan","Non-locking double doors",,,"Wall mounting required",64
Storage,Science,Flammables Cabinet,"3440-3622M",36,22,35,"Oak Veneer","Oak Hardwood","UV Finish","Natural","36""x22""x35"" flammables","3"" high drip tray","Metal adjustable shelf","Three-point locking system",,,"Meets NFPA30",64
Storage,Science,Eye Safety Cabinet,"ESC11-11LM",24.5,9.5,32,"Steel","Steel","White Enamel","White","24.5""x9.5""x32"" eye safety","UV germicidal lamp","8 shelves, holds 6 glasses/shelf","20-year lamp warranty",45,,"UL Listed",64
Storage,CTE,Tool Cabinet,"TC-4",60,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","60""x22""x84"" tool storage","60 assorted hooks","Upper pegboard doors","Lower adjustable shelves",,,"Tools included",67
Storage,CTE,Tool Cabinet,"TC-4810WT",48,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","48""x22""x84"" tool storage","Woodworking tools included","Upper pegboard doors","Lower adjustable shelves",,,"All-purpose tools",67
Storage,CTE,Tall Parts Cabinet,"PSC-80M",36,18,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","36""x18""x84"" parts storage","80 plastic bins","Three adjustable shelves","Three-point locking",,,"Wall mounting required",68
Storage,CTE,Lumber Storage Rack,"LR-12M",144,42,96,"Steel","Steel","Gray Primer","Gray","12'W x 42""D x 8'H metal rack","Four steel upright frames","One 38""D + four 20""D shelves","400 lbs per shelf",,,"Mounting hardware not included",69
Storage,CTE,Wood Lumber Rack,"LR-13W",151.5,32,72,"Hardwood","Hardwood","UV Finish","Natural","151.5""x32""x72"" wood rack","Solid ash framing","28 iron pipes 1.25"" diameter","250 lbs per pipe",,,"Mounting hardware not included",69
Storage,CTE,Vertical Storage Rack,"VSR-277M",48,30,100,"Steel","Steel","Gray Powder Coat","Gray","48""x30""x100"" vertical rack","Three horizontal short shelves","16-gauge steel uprights","300 lbs per shelf",,,"For 3D printers/culinary",70
Storage,Robotics,Robot Storage Cabinet,"VXM-4424M",44,24,68,"Oak Veneer","Oak Hardwood","UV Finish","Natural","44""x24""x68"" robot storage","Two storage compartments","Flip-up shelf for 18""sq robot","Customizable foam insert",,,"VEX logo optional",73
Storage,Robotics,Robot Workbench,"VXR-7228M",72,26,"36-3/4","Steel","Steel","Black Powder Coat","Gray","72""x26""x36.75"" robot bench","Three storage compartments","1-1/2"" ShopTop worksurface","8"" worksurface extension",,,"VEX logo optional",73
Storage,Tote,Classic Tote Cabinet,"4901K",36,24,35.5,"Oak Veneer","Oak Hardwood","UV Finish","Tan","36""x24""x35.5"" tote storage","Five single totes, three drawers","White marker board top","10-position adjustable arms",,,"Write-n-Roll cabinet",74
Storage,Tote,Euro Tote Cabinet,"4821M4",36,24,35.5,"Oak Veneer","Oak Hardwood","UV Finish","Clear","36""x24""x35.5"" euro tote","Euro-Series translucent totes","White marker board top","10-position adjustable arms",,,"Write-n-Roll cabinet",74
Storage,Tote,Touchdown Tote Cabinet,"4751K",48,24,41.5,"Oak Veneer","Oak Hardwood","UV Finish","Black","48""x24""x41.5"" tote cabinet","21 classic totes","Black HPL top with edge band","4"" locking casters",,,"Touchdown style",74
Storage,Tote,Euro XL Cabinet,"TS-4221M4",42,21,"53.75","Oak Veneer","Oak Hardwood","UV Finish","Clear","42""x21""x53.75"" XL cabinet","9 single + 9 double + 3 quad totes","Open or door style","Three-point locking",,,"Euro tote colors",76
Storage,Tote,Combination Tote Cabinet,"TW-4221M4",42,21,"53.75","Oak Veneer","Oak Hardwood","UV Finish","Clear","42""x21""x53.75"" combo cabinet","6 single + 6 double + 2 quad totes","Backpack/coat space with hook","Three-point locking",,,"Wall mounting required",77
Storage,Tote,Classic Tote Cabinet,"MTTC-4824WDK",48.5,22.5,52,"Oak Veneer","Oak Hardwood","UV Finish","Tan","48.5""x22.5""x52"" classic storage","24 classic totes","Two-door cabinet","Three-point locking",,,"Wall mounting required",77
Storage,Tote,Tall Tote Storage,"390-4322M4",43,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Clear","43""x22""x84"" tall storage","54 single Euro totes","Open or double-door","Metal toe-kick",,,"Wall mounting required",78
Storage,Tote,Tall Tote Storage,"352-4322M2",43,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Clear","43""x22""x84"" tall storage","24 single Euro totes","Double-door only","Metal toe-kick",,,"Wall mounting required",78
Storage,Art,Art Supply Cabinet,"PSC-90M",43,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","43""x22""x84"" art cabinet","Can cubby for 29 aerosol cans","12 single + 3 double Euro totes","Metal dividers optional",300,,"Patent pending",79
Storage,Art,Drawing Supply Cabinet,"DTC-24WT",48,22,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","48""x22""x84"" drawing cabinet","Holds T-squares/drawing boards","24 classic totes","Tools included option",300,,"Wall mounting required",80
